"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"Colombia","92","92","91","91","90","91","91","85","88","92","92","93","94","93","89","92","83","83","82","77","75","85","87","87","87","92","84","91","93","90","94","82","53","62","68","42","27","22","16"
"Comoros","94","94","92","92","87","85","85","85","82","84","81","75","69","67","73","80","98","70","70","73","75","48","60","78","58","70","46","55","94","78","44","73","73","53","32","","","",""
"Congo","75","69","71","80","90","85","68","72","72","76","77","71","73","62","67","50","41","32","31","29","25","21","47","50","55","60","67","74","80","79","71","71","71","73","59","53","48","42","42"
"Cook Islands","99","99","99","99","99","98","98","93","99","82","99","99","99","99","99","95","97","90","92","92","93","93","75","93","86","99","87","87","83","89","94","82","82","91","96","47","57","48","39"
"Costa Rica","94","96","97","92","91","95","90","82","93","80","89","89","89","91","90","88","94","92","80","84","85","97","85","86","88","88","91","90","95","86","87","92","87","88","94","86","80","85","86"
"Côte d'Ivoire","82","82","71","74","71","74","83","58","81","77","58","75","76","87","76","68","70","70","66","58","59","59","54","46","49","51","49","51","56","42","32","27","22","16","11","","","",""
"Croatia","94","92","93","94","95","96","96","96","97","96","96","96","96","96","96","95","95","94","94","93","93","92","91","90","87","86","85","","","","","","","","","","","",""
"Cuba","99","98","98","99","99","99","98","99","99","99","99","99","99","99","98","98","98","99","98","96","97","97","98","95","96","97","99","97","94","96","98","86","99","88","95","95","83","97","99"
"Cyprus","97","97","97","97","99","99","99","99","99","99","97","97","97","98","98","98","98","97","97","97","98","98","98","96","96","95","95","94","94","93","90","93","91","61","31","36","27","44","35"
"Czechia","94","94","96","97","99","99","99","99","99","99","99","99","98","96","96","97","97","97","98","98","97","97","98","98","98","99","","","","","","","","","","","","",""
"Democratic People's Republic of Korea","99","99","99","99","99","99","99","99","99","98","98","99","98","97","99","99","99","98","93","87","82","76","82","88","93","99","99","98","99","79","58","70","62","65","52","52","51","51","50"
"Democratic Republic of the Congo","79","79","74","78","79","74","76","77","76","78","64","72","62","60","52","47","40","30","42","21","18","18","18","24","27","29","31","16","34","38","41","38","39","34","30","26","22","18","15"
"Denmark","97","98","94","93","94","94","94","91","90","89","88","87","93","93","95","96","98","97","97","99","99","99","99","97","99","96","98","98","99","98","99","97","94","99","96","98","99","98","99"
"Djibouti","84","76","68","84","78","82","81","87","88","89","89","88","72","71","64","68","62","49","46","24","23","32","41","41","41","41","41","53","85","77","65","25","24","22","21","14","6","",""
"Dominica","94","91","99","98","97","96","97","98","99","99","95","93","96","98","99","99","98","99","99","99","99","97","99","99","99","99","99","94","94","94","97","95","92","89","82","92","73","97","53"
"Dominican Republic","89","80","82","87","90","82","85","84","85","85","86","86","88","86","66","65","74","71","71","71","68","71","70","70","98","82","73","74","90","70","65","79","79","39","99","22","43","42","46"
"Ecuador","85","83","79","84","84","87","85","85","88","91","94","95","92","89","90","97","88","90","83","83","83","79","80","82","83","84","86","61","67","64","58","51","44","39","47","32","36","27","19"
"Egypt","95","94","95","93","94","97","93","96","97","97","97","98","98","98","97","98","97","99","98","97","95","94","91","90","91","89","89","86","87","90","89","82","89","84","78","67","67","67","67"
"El Salvador","83","89","95","92","93","92","93","90","89","91","98","99","96","89","90","93","81","94","98","92","99","97","94","94","89","79","61","61","80","64","63","57","51","54","30","20","42","38","42"
