"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"Seychelles","99","97","96","97","99","98","98","99","99","99","99","99","99","99","99","99","99","96","98","99","99","98","99","97","96","96","96","98","99","97","94","89","94","86","95","98","57","16",""
"Sierra Leone","90","90","84","86","83","92","91","88","84","81","75","63","65","67","69","66","54","38","46","61","","","","","","","","","","","","","","","","","","",""
"Singapore","96","96","96","96","96","97","97","96","96","97","97","97","95","96","95","96","94","95","98","97","97","98","97","98","94","92","92","91","85","90","90","95","94","81","81","86","83","88","83"
"Slovakia","96","96","96","96","97","98","99","99","99","99","99","99","99","99","99","98","98","99","98","99","98","98","98","98","98","","","","","","","","","","","","","",""
"Slovenia","93","94","94","95","95","95","96","96","96","96","97","97","97","95","94","95","93","93","93","93","90","92","98","98","98","98","98","","","","","","","","","","","",""
"Solomon Islands","85","80","89","85","78","85","88","97","84","90","88","89","99","90","89","84","78","88","88","88","71","70","98","69","65","71","73","74","75","66","63","41","41","36","41","27","22","34","43"
"Somalia","47","47","47","47","47","47","47","49","49","41","40","40","26","35","30","40","40","33","37","40","35","19","21","22","23","21","20","18","18","18","26","25","17","22","11","5","5","2","8"
"South Africa","74","76","76","85","85","79","69","71","72","75","77","79","79","75","73","70","70","71","71","71","72","72","73","72","73","81","79","82","76","73","70","75","70","77","76","80","","",""
"South Sudan","50","48","45","52","52","56","67","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","93","95","97","97","97","96","97","97","97","96","97","96","98","96","97","99","98","95","95","95","94","94","91","88","88","88","85","88","94","94","94","82","75","73","91","","","",""
"Sri Lanka","99","99","99","99","99","99","99","99","99","97","98","98","98","99","97","98","98","98","99","99","94","98","92","92","89","90","88","86","86","88","85","79","75","71","65","64","56","45","46"
"Sudan","93","95","93","93","94","93","92","93","90","81","85","84","77","78","74","69","60","66","62","64","48","55","56","48","46","51","53","62","62","61","41","27","14","8","4","3","2","1","1"
"Suriname","95","65","91","89","85","86","84","86","96","85","85","84","84","84","84","74","74","65","70","84","90","81","84","81","71","75","71","77","81","71","71","70","80","85","79","83","53","22","24"
"Sweden","97","97","98","98","97","98","98","98","98","98","98","98","98","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","97"
"Switzerland","96","96","96","96","96","96","96","96","96","96","96","94","94","94","95","95","95","95","95","95","92","95","95","95","95","95","95","95","98","98","95","97","98","","","","","",""
"Syrian Arab Republic","53","53","48","50","52","50","47","60","83","83","83","83","83","83","84","85","86","83","86","87","88","87","88","89","89","90","89","89","91","94","59","42","86","29","25","21","15","14","13"
"Tajikistan","96","97","97","96","94","97","96","97","95","93","87","85","76","79","82","82","84","84","86","84","82","80","77","69","80","65","61","","","","","","","","","","","",""
"Thailand","97","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","97","97","97","97","96","95","94","96","93","89","84","90","92","84","80","71","66","61","56","46","39","31","19"
"Republic of North Macedonia","91","91","95","92","96","98","97","97","95","96","96","96","92","98","95","96","97","91","96","95","94","97","94","95","91","99","","","","","","","","","","","","",""
"Timor-Leste","83","83","79","75","76","82","83","66","72","78","79","70","62","55","57","55","38","","","","","","","","","","","","","","","","","","","","","",""
"Togo","66","84","89","88","85","84","84","85","83","78","80","72","85","80","71","72","58","51","63","57","43","47","53","59","62","66","69","73","76","72","54","60","35","23","11","10","10","9",""
"Tonga","83","83","80","80","82","84","79","84","84","86","88","88","89","90","91","91","85","91","91","91","96","96","99","93","90","96","99","92","93","93","92","87","73","81","46","57","80","37","20"
"Trinidad and Tobago","99","94","84","88","94","94","91","91","91","90","91","90","89","95","94","91","96","91","90","90","91","91","90","90","85","78","87","81","87","77","83","80","71","74","66","61","59","55","38"
"Tunisia","97","98","98","98","98","98","97","98","98","99","99","98","99","98","97","95","96","98","97","99","96","96","95","94","93","94","95","93","93","93","91","84","72","70","66","62","","",""
"Turkey","98","96","98","97","96","98","97","97","97","96","96","96","90","90","85","69","78","88","85","79","81","79","73","67","91","76","77","72","84","79","86","86","45","55","57","59","61","69","63"
"Turkmenistan","99","99","98","99","98","98","98","97","96","97","96","98","98","99","98","66","99","94","98","98","99","99","98","96","94","92","91","","","","","","","","","","","",""
"Tuvalu","89","96","94","96","89","90","97","96","89","85","99","97","97","99","98","93","98","96","82","84","78","80","92","85","95","86","86","71","84","66","91","59","73","97","74","83","79","44","23"
"Uganda","88","90","97","92","78","78","79","79","79","78","69","70","62","59","58","57","57","56","55","54","50","55","57","58","59","56","52","49","45","42","38","30","21","13","12","11","9","8",""
"Ukraine","48","48","56","51","45","72","72","54","57","74","91","98","99","95","99","99","99","99","99","98","98","99","99","97","96","91","89","","","","","","","","","","","",""
"United Arab Emirates","99","96","99","99","99","98","96","95","94","94","94","94","94","94","94","94","94","94","94","94","94","92","90","90","90","90","86","85","85","85","82","80","77","74","59","50","46","45","11"
"United Kingdom of Great Britain and Northern Ireland","94","94","94","95","95","95","95","95","94","93","92","92","92","91","92","91","91","91","91","92","91","92","96","96","95","95","95","93","92","89","87","87","85","95","84","84","84","82","81"
"United Republic of Tanzania","91","96","93","96","97","91","90","88","94","88","89","88","91","91","95","97","91","65","64","74","79","79","80","79","83","78","82","81","78","66","82","80","73","64","47","49","48","46","57"
"United States of America","93","94","94","93","93","93","93","94","93","93","94","93","93","92","92","91","90","89","90","90","91","91","91","88","84","79","72","78","85","91","97","97","97","96","97","97","97","96","95"
"Uruguay","91","93","95","95","95","94","95","95","95","95","94","94","95","96","95","91","93","94","92","93","91","91","91","91","91","92","93","96","97","88","82","85","64","58","80","77","72","60","59"
"Uzbekistan","98","99","99","99","99","99","99","99","99","99","98","98","94","99","99","99","99","99","99","99","99","98","97","99","79","46","85","","","","","","","","","","","",""
"Vanuatu","85","83","81","80","80","78","77","75","74","72","70","69","67","67","67","67","67","67","67","67","67","67","68","74","74","87","78","82","78","70","58","53","31","27","27","18","17","",""
"Venezuela (Bolivarian Republic of)","53","79","82","87","79","82","73","78","74","75","76","67","73","80","83","86","81","87","86","86","62","76","73","85","73","72","73","74","72","67","74","61","64","59","59","77","76","75","95"
"Viet Nam","90","94","95","97","96","93","97","96","94","97","93","92","94","94","96","96","92","96","96","93","94","95","94","94","94","91","89","88","88","70","54","45","45","62","5","2","","",""
"Yemen","59","62","65","63","67","67","68","69","77","76","78","79","78","80","72","61","64","73","74","71","68","40","47","44","33","54","50","47","84","56","36","18","13","12","7","5","4","3","1"
"Zambia","90","92","87","90","78","74","70","83","80","93","90","77","83","84","84","85","85","86","85","84","83","82","83","84","90","87","83","80","90","81","81","81","74","61","50","46","","",""
"Zimbabwe","89","89","90","88","92","95","95","93","89","69","75","73","71","69","67","70","73","76","78","81","84","86","90","88","87","85","86","88","89","88","87","86","82","63","61","53","46","38",""
